ticker,removal_date,delisting,reason,rows,last_date,window_start,window_end,coverage,status,overrun_days
AA,2016-11-01,False,Alcoa completed the corporate spin-off off Arconic.,5462,2026-09-18,2005-01-01,2016-11-01,0.9653385163589245,ok,
AAL,2024-09-23,False,Market capitalization changes.,5277,2026-09-18,2015-03-23,2024-09-23,0.9645304312777107,ok,
AAP,2023-08-25,False,Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.,5462,2026-09-18,2015-07-08,2023-08-25,0.9651436646255299,ok,
ABK,2008-06-10,False,Market capitalization changes.,0,,2005-01-01,2008-06-10,0.0,no data,
ABMD,2022-12-22,True,Johnson & Johnson acquired Abiomed.,0,,2018-05-31,2022-12-22,0.0,no data,
ABS,2006-06-02,True,Albertsons was acquired by SuperValu and CVS Corp.,0,,2005-01-01,2006-06-02,0.0,no data,
ACAS,2009-03-03,False,Market capitalization changes.,0,,2005-01-01,2009-03-03,0.0,no data,
ACE,2016-01-19,True,ACE Ltd acquired Chubb and retained the CB ticker.,0,,2005-01-01,2016-01-19,0.0,no data,
ADCT,2007-07-02,False,Discover Financial Services was listed on New York Stock Exchange.,1593,2026-09-18,2005-01-01,2007-07-02,0.0,too little of the membership window,
ADS,2020-06-22,False,Market capitalization changes.,0,,2013-12-23,2020-06-22,0.0,no data,
ADT,2016-05-03,True,ADT was acquired by Apollo.,2178,2026-09-18,2012-10-01,2016-05-03,0.0,ticker reused by another company,3790.0
AET,2018-12-03,True,CVS acquired Aetna.,0,,2005-01-01,2018-12-03,0.0,no data,
AGN,2020-05-12,True,Allergan was acquired by AbbVie.,0,,2005-01-01,2020-05-12,0.0,no data,
AIV,2020-12-21,False,Aimco completed the corporate spin-off of Apartment Income REIT.,5462,2026-09-18,2005-01-01,2020-12-21,0.9651944311089774,ok,
AKS,2011-12-16,False,Market capitalization changes.,0,,2008-07-01,2011-12-16,0.0,no data,
ALK,2023-12-18,False,Market capitalization changes.,5462,2026-09-18,2016-05-13,2023-12-18,0.9651866801210898,ok,
ALTR,2015-12-29,True,Altera was acquired by Intel.,0,,2005-01-01,2015-12-29,0.0,no data,
ALXN,2021-07-21,True,AstraZeneca acquired Alexion Pharmaceuticals.,0,,2012-05-21,2021-07-21,0.0,no data,
AMG,2019-12-23,False,Market capitalization changes.,5462,2026-09-18,2014-07-01,2019-12-23,0.9657342657342657,ok,
AMTM,2024-12-23,False,Market capitalization changes.,498,2026-09-18,2024-09-30,2024-12-23,0.9836065573770492,ok,
AN,2017-08-08,False,MetLife completed the corporate spin-off of Brighthouse Financial.,5462,2026-09-18,2005-01-01,2017-08-08,0.9650136902951019,ok,
ANDV,2018-10-01,True,ANDV was acquired by Marathon Petroleum.,0,,2005-01-01,2018-10-01,0.0,no data,
ANF,2013-12-23,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2013-12-23,0.9653994019649722,ok,
ANR,2012-10-02,True,Kraft split into two companies.,0,,2011-06-01,2012-10-02,0.0,no data,
ANSS,2025-07-18,True,Synopsys acquired Ansys.,0,,2017-06-19,2025-07-18,0.0,no data,
APC,2019-08-09,True,Occidental Petroleum acquired Anadarko Petroleum.,151,2026-09-18,2005-01-01,2019-08-09,0.0,ticker reused by another company,2597.0
APOL,2013-07-01,False,Market capitalization changes.,0,,2005-01-01,2013-07-01,0.0,no data,
ARG,2016-05-23,True,Airgas was acquired by Air Liquide.,0,,2009-09-28,2016-05-23,0.0,no data,
ARNC,2020-04-01,False,Arconic separated into 2 companies - Howmet remained in the index.,0,,2016-11-01,2020-04-01,0.0,no data,
ATI,2015-07-02,False,Spin off of Columbia Pipeline.,5462,2026-09-18,2005-01-01,2015-07-02,0.9649507119386638,ok,
ATVI,2023-10-18,False,Acquisition of Activision Blizzard by Microsoft.,0,,2015-08-28,2023-10-18,0.0,no data,
AV,2007-10-26,True,Avaya was acquired.,94,2026-09-18,2005-01-01,2007-10-26,0.0,ticker reused by another company,6902.0
AVB,2026-08-18,True,Equity Residential (now Vivmark Residential) acquired AvalonBay Communities.,27,2026-08-24,2007-01-10,2026-08-18,0.004496578690127077,too little of the membership window,
AVP,2015-03-23,False,Market capitalization changes.,0,,2005-01-01,2015-03-23,0.0,no data,
AYE,2011-02-25,True,Alleghany was acquired by First Energy.,0,,2005-01-01,2011-02-25,0.0,no data,
AYI,2018-06-18,False,Market capitalization changes.,5462,2026-09-18,2016-05-03,2018-06-18,0.9657657657657658,ok,
BBBY,2017-07-26,False,Market capitalization changes.,45,2026-09-18,2005-01-01,2017-07-26,0.0,too little of the membership window,
BBWI,2024-10-01,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2024-10-01,0.9646739130434783,ok,
BC,2008-06-23,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2008-06-23,0.9646799116997793,ok,
BCR,2018-01-03,True,Becton Dickinson acquired CR Bard.,0,,2005-01-01,2018-01-03,0.0,no data,
BEAM,2014-05-01,True,Beam was acquired by Suntory.,1663,2026-09-18,2005-01-01,2014-05-01,0.0,ticker reused by another company,4523.0
BHF,2019-04-02,False,DowDuPont completed the corporate spin-off of Dow Inc.,2307,2026-09-18,2017-08-08,2019-04-02,0.962877030162413,ok,
BHI,2017-07-07,True,Baker Hughes merged with GE Oil & Gas to form a new company.,0,,2005-01-01,2017-07-07,0.0,no data,
BIG,2013-02-15,False,Market capitalization changes.,0,,2005-01-01,2013-02-15,0.0,no data,
BIO,2024-09-23,False,Market capitalization changes.,5462,2026-09-18,2020-06-22,2024-09-23,0.963996399639964,ok,
BJS,2010-04-29,True,BJ Services was acquired by Baker Hughes.,0,,2005-01-01,2010-04-29,0.0,no data,
BMC,2013-09-10,True,BMC was acquired by a consortium.,0,,2005-01-01,2013-09-10,0.0,no data,
BMS,2019-06-11,True,BMS changed to AMCR post merger with Amcor; subsequently renamed to Amcor.,0,,2005-01-01,2019-06-11,0.0,no data,
BRCM,2016-02-01,False,nan,0,,2005-01-01,2016-02-01,0.0,no data,
BTU,2014-09-20,False,Market capitalization changes.,2379,2026-09-18,2005-01-01,2014-09-20,0.0,too little of the membership window,
BWA,2025-03-24,False,Market capitalization changes.,5462,2026-09-18,2011-12-16,2025-03-24,0.963316002310803,ok,
BXLT,2016-06-03,True,SHPG acquired Baxalta.,0,,2015-07-01,2016-06-03,0.0,no data,
CA,2018-11-06,True,CA was acquired by Broadcom.,0,,2005-01-01,2018-11-06,0.0,no data,
CAG,2026-06-30,False,Market capitalization changes.,5462,2026-09-18,2005-01-01,2026-06-30,0.9641519529159979,ok,
